gene_id,entrez_id,gene_name,symbol,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
ENSG00000011243,26993,AKAP8L,AKAP8L,9,1,0,5,6,7,1,1,4,4,0,6
ENSG00000011258,54799,MBTD1,MBTD1,25,6,13,13,18,5,14,16,39,28,41,15
ENSG00000011260,51096,UTP18,UTP18,14,11,8,28,10,13,8,35,36,3,9,21
ENSG00000011275,54476,RNF216,RNF216,3,4,12,4,4,22,4,16,10,14,7,11
ENSG00000011295,54902,TTC19,TTC19,28,8,15,34,56,19,40,10,28,24,19,45
ENSG00000011304,100616459,PTBP1,PTBP1,47,18,96,41,25,73,54,26,51,31,22,50
ENSG00000011332,8193,DPF1,DPF1,204,266,792,417,439,483,516,773,268,371,360,574
ENSG00000011347,9066,SYT7,SYT7,3,8,12,6,5,5,3,4,12,13,5,7
ENSG00000011376,23395,LARS2,LARS2,9,0,3,1,0,0,2,8,0,0,2,0
ENSG00000011405,5286,PIK3C2A,PIK3C2A,86,23,59,27,22,33,118,98,53,41,15,28
ENSG00000011422,5329,PLAUR,PLAUR,28,47,33,11,56,22,29,59,7,23,16,24
ENSG00000011426,54443,ANLN,ANLN,0,6,0,3,0,2,1,0,1,3,0,6
ENSG00000011451,58525,WIZ,WIZ,1,10,3,5,20,10,6,17,47,5,15,4
ENSG00000011454,23637,RABGAP1,RABGAP1,4,0,2,0,0,0,0,3,0,0,4,6
ENSG00000011465,1634,DCN,DCN,7,1,21,1,5,0,2,4,14,3,1,16
ENSG00000011478,54814,QPCTL,QPCTL,1,2,0,1,17,5,1,3,1,3,6,3
ENSG00000011485,5536,PPP5C,PPP5C,46,68,44,33,31,11,67,42,46,31,36,15
ENSG00000011523,23177,CEP68,CEP68,49,42,14,39,71,52,52,34,33,35,74,36
ENSG00000011566,8491,MAP4K3,MAP4K3,9,3,9,7,15,50,13,13,20,10,11,4
ENSG00000011590,27033,ZBTB32,ZBTB32,26,2,7,13,7,6,5,11,4,21,8,2
ENSG00000011600,7305,TYROBP,TYROBP,30,41,118,135,144,63,76,65,91,70,66,53
ENSG00000011638,57146,TMEM159,TMEM159,6,10,19,0,3,1,5,0,4,2,1,3
ENSG00000011677,2556,GABRA3,GABRA3,8,8,5,4,8,1,7,3,9,1,4,14
ENSG00000012048,672,BRCA1,BRCA1,25,11,31,15,23,32,29,12,33,29,20,20
ENSG00000012061,2067,ERCC1,ERCC1,12,45,59,60,52,27,15,34,24,54,41,65
ENSG00000012124,933,CD22,CD22,14,10,22,6,20,9,30,10,5,24,11,21
ENSG00000012171,102465526,SEMA3B,SEMA3B,19,46,16,21,46,58,24,31,22,25,45,19
ENSG00000012174,51360,MBTPS2,MBTPS2,2,2,2,1,10,3,0,6,2,2,1,0
ENSG00000012211,4007,PRICKLE3,PRICKLE3,18,23,13,9,3,3,12,9,3,2,17,13
ENSG00000012223,4057,LTF,LTF,24,20,11,47,60,62,19,51,49,23,19,41
ENSG00000012232,2137,EXTL3,EXTL3,14,11,11,6,9,22,25,6,15,8,7,10
ENSG00000012504,9971,NR1H4,NR1H4,16,7,5,12,18,24,11,11,22,23,12,8
ENSG00000012660,60481,ELOVL5,ELOVL5,7,36,33,51,9,41,14,14,36,19,10,34
ENSG00000012779,240,ALOX5,ALOX5,65,75,160,59,62,105,107,50,108,115,107,63
ENSG00000012817,8284,KDM5D,KDM5D,12,30,0,17,10,2,1,7,8,14,0,12
ENSG00000012822,57658,CALCOCO1,CALCOCO1,74,72,54,90,57,49,132,46,45,115,83,76
ENSG00000012963,55148,UBR7,UBR7,14,6,14,23,12,8,2,17,19,8,33,18
ENSG00000012983,11183,MAP4K5,MAP4K5,0,4,0,0,1,1,1,0,1,1,0,1
ENSG00000013016,30845,EHD3,EHD3,25,4,21,37,22,28,10,24,28,37,47,34
ENSG00000013275,5704,PSMC4,PSMC4,1,0,0,0,0,0,0,0,0,0,2,0
ENSG00000013288,23324,MAN2B2,MAN2B2,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000013293,57709,SLC7A14,SLC7A14,30,67,60,40,13,38,12,89,33,40,28,42
ENSG00000013297,5010,CLDN11,CLDN11,95,17,48,42,39,40,12,66,19,58,46,30
ENSG00000013306,51629,SLC25A39,SLC25A39,48,16,32,19,15,16,24,25,8,15,17,33
ENSG00000013364,9961,MVP,MVP,1,0,1,0,0,1,2,1,1,4,0,0
ENSG00000013374,51667,NUB1,NUB1,0,4,2,0,0,2,1,3,1,0,1,0
ENSG00000013375,5238,PGM3,PGM3,51,72,45,105,59,20,55,28,58,24,55,55
ENSG00000013392,112611,RWDD2A,RWDD2A,23,37,60,23,11,18,60,34,14,26,34,44
ENSG00000013441,1195,CLK1,CLK1,28,35,22,24,22,15,16,36,19,20,14,8
ENSG00000013503,55703,POLR3B,POLR3B,39,26,61,13,45,21,36,39,33,34,27,24
ENSG00000013523,23357,ANGEL1,ANGEL1,5,0,2,5,1,1,1,2,6,12,8,5
ENSG00000013561,9604,RNF14,RNF14,0,4,4,4,11,18,7,1,3,2,26,6
ENSG00000013563,1774,DNASE1L1,DNASE1L1,25,56,44,29,91,95,32,46,39,45,59,13
ENSG00000013573,1663,DDX11,DDX11,14,50,33,46,57,34,63,58,53,38,22,15
ENSG00000013583,50865,HEBP1,HEBP1,122,31,50,167,40,70,55,78,135,35,142,112
ENSG00000013588,9052,GPRC5A,GPRC5A,16,10,10,3,18,25,22,15,6,3,18,15
ENSG00000013619,10046,MAMLD1,MAMLD1,8,38,27,55,38,26,42,47,45,37,33,40
ENSG00000013725,923,CD6,CD6,4,32,6,7,18,18,20,3,6,23,5,9
ENSG00000013810,10460,TACC3,TACC3,10,12,19,24,24,19,22,7,35,3,28,19
ENSG00000014123,23376,UFL1,UFL1,29,3,4,2,3,0,2,1,10,14,3,6
ENSG00000014138,23649,POLA2,POLA2,10,1,0,0,5,0,0,5,1,2,12,1
ENSG00000014164,23144,ZC3H3,ZC3H3,49,41,60,59,53,85,70,39,109,15,61,55
ENSG00000014216,823,CAPN1,CAPN1,5,17,6,6,12,8,3,14,14,35,27,14
ENSG00000014257,55,ACPP,ACPP,468,640,591,451,404,937,366,326,504,463,560,424
ENSG00000014641,4190,MDH1,MDH1,244,119,85,100,145,221,188,137,124,188,128,224
ENSG00000014824,10463,SLC30A9,SLC30A9,2,4,2,4,1,2,9,6,1,3,5,13
ENSG00000014914,10903,MTMR11,MTMR11,12,8,0,7,8,18,0,14,9,1,2,8
ENSG00000014919,1355,COX15,COX15,8,9,24,2,3,16,18,10,2,14,1,14
ENSG00000015133,440193,CCDC88C,CCDC88C,12,2,9,4,29,0,6,6,2,14,3,4
ENSG00000015153,10138,YAF2,YAF2,20,35,19,12,28,38,17,11,48,51,16,22
ENSG00000015171,10771,ZMYND11,ZMYND11,18,0,1,0,2,1,1,0,1,0,1,1
ENSG00000015285,7454,WAS,WAS,17,27,11,23,34,31,24,37,9,15,31,44
ENSG00000015413,1800,DPEP1,DPEP1,23,14,14,35,20,35,28,12,17,35,23,42
ENSG00000015475,637,BID,BID,65,52,73,153,129,105,106,54,120,91,58,78
ENSG00000015479,724102,MATR3,MATR3,9,3,0,0,0,0,0,0,0,2,1,4
ENSG00000015520,29881,NPC1L1,NPC1L1,5,14,3,24,7,5,8,8,15,5,4,5
ENSG00000015532,64132,XYLT2,XYLT2,41,40,19,35,38,14,21,27,27,37,28,52
ENSG00000015568,729540,RGPD5,RGPD5,505,1103,1162,800,1307,1110,917,682,1196,1398,1401,1524
ENSG00000015592,81551,STMN4,STMN4,0,6,3,0,2,0,2,1,1,6,0,7
ENSG00000015676,23386,NUDCD3,NUDCD3,0,0,0,3,0,0,0,0,1,0,1,0
ENSG00000016082,3670,ISL1,ISL1,1,21,4,3,4,0,4,11,0,0,3,3
ENSG00000016391,55349,CHDH,CHDH,1,0,3,0,2,3,27,0,2,2,6,0
ENSG00000016402,53832,IL20RA,IL20RA,34,37,53,38,39,33,69,63,63,46,30,24
ENSG00000016490,1179,CLCA1,CLCA1,37,3,0,8,8,12,6,14,8,8,3,10
ENSG00000016602,22802,CLCA4,CLCA4,80,92,21,43,17,65,74,49,27,51,15,60
ENSG00000016864,55830,GLT8D1,GLT8D1,0,0,0,5,0,3,0,4,0,0,0,2
ENSG00000017260,27032,ATP2C1,ATP2C1,8,37,4,8,10,5,12,15,10,8,7,13
ENSG00000017373,101929513,SRCIN1,SRCIN1,24,7,8,0,13,2,10,1,7,7,8,11
ENSG00000017427,3479,IGF1,IGF1,3,5,28,16,11,9,25,40,6,20,7,9
ENSG00000017483,92745,SLC38A5,SLC38A5,18,23,2,30,12,8,6,25,11,51,5,14
ENSG00000017621,79917,MAGIX,MAGIX,29,7,36,46,33,14,33,41,41,68,30,73
ENSG00000017797,10928,RALBP1,RALBP1,5,29,0,2,0,6,6,8,3,0,9,2
ENSG00000018189,22902,RUFY3,RUFY3,10,20,9,12,15,31,5,28,21,46,14,4
ENSG00000018236,1272,CNTN1,CNTN1,45,41,65,81,97,57,40,76,124,50,104,59
ENSG00000018280,6556,SLC11A1,SLC11A1,1,7,9,2,1,2,2,0,4,4,6,3
ENSG00000018408,25937,WWTR1,WWTR1,0,1,0,0,5,7,0,3,0,0,0,0
ENSG00000018510,8540,AGPS,AGPS,9,8,5,14,8,11,2,9,11,2,11,20
ENSG00000018607,NA,ZNF806,ZNF806,10,45,22,42,33,21,46,30,32,19,21,12
ENSG00000018610,63932,CXorf56,CXorf56,2,3,29,10,0,11,1,26,1,0,0,11
ENSG00000018625,477,ATP1A2,ATP1A2,3,2,2,3,6,5,11,2,3,8,8,5
ENSG00000018699,55622,TTC27,TTC27,1,0,0,0,1,1,1,0,7,1,0,0
ENSG00000018869,147948,ZNF582,ZNF582,119,269,182,224,69,132,97,177,189,68,123,89
ENSG00000019102,23584,VSIG2,VSIG2,7,0,3,0,0,2,0,4,0,4,0,10
ENSG00000019144,102466719,PHLDB1,PHLDB1,22,4,29,15,10,7,7,21,0,3,20,17
ENSG00000019169,8685,MARCO,MARCO,2,2,5,2,16,9,6,6,7,4,0,1
ENSG00000019186,1591,CYP24A1,CYP24A1,14,0,0,5,1,0,0,2,1,0,0,3
ENSG00000019485,101060179,PRDM11,PRDM11,5,13,7,1,2,0,1,3,1,14,5,0
ENSG00000019505,57586,SYT13,SYT13,106,83,92,64,73,73,116,71,76,78,92,57
ENSG00000019549,6591,SNAI2,SNAI2,0,10,8,1,9,9,4,6,6,15,5,20
ENSG00000019582,972,CD74,CD74,79,22,83,34,87,26,39,53,44,33,86,42
ENSG00000019991,3082,HGF,HGF,5,6,0,5,3,8,4,3,5,4,9,6
ENSG00000019995,54764,ZRANB1,ZRANB1,11,14,3,0,20,4,14,1,3,11,6,5
ENSG00000020129,23154,NCDN,NCDN,45,4,15,38,52,33,41,21,38,19,33,56
ENSG00000020181,25960,GPR124,GPR124,88,49,52,89,113,79,128,44,106,31,61,99
ENSG00000020219,NA,CCT8L1P,CCT8L1P,45,53,45,75,71,63,46,25,55,44,26,34
ENSG00000020256,55734,ZFP64,ZFP64,278,243,548,453,447,608,341,288,601,427,437,528
ENSG00000020426,4331,MNAT1,MNAT1,10,1,5,6,6,0,4,1,0,1,3,2
ENSG00000020577,23034,SAMD4A,SAMD4A,13,7,13,7,13,8,10,12,4,10,4,27
ENSG00000020633,864,RUNX3,RUNX3,12,0,3,30,4,0,24,14,4,28,20,14
ENSG00000020922,4361,MRE11A,MRE11A,10,11,5,1,4,12,11,7,0,22,7,7
ENSG00000021300,58473,PLEKHB1,PLEKHB1,7,19,9,17,29,17,9,10,4,2,3,9
ENSG00000021355,1992,SERPINB1,SERPINB1,36,60,73,61,46,37,32,61,34,65,11,39
ENSG00000021461,64816,CYP3A43,CYP3A43,12,15,11,11,20,22,23,12,20,13,1,9
ENSG00000021488,11136,SLC7A9,SLC7A9,62,101,100,149,97,89,41,93,66,40,56,64
ENSG00000021574,6683,SPAST,SPAST,10,22,0,13,1,9,0,6,3,2,1,1
ENSG00000021645,9369,NRXN3,NRXN3,2,0,7,6,0,0,1,1,0,0,0,0
ENSG00000021762,114879,OSBPL5,OSBPL5,378,286,454,422,367,344,448,371,249,387,397,236
ENSG00000021776,9716,AQR,AQR,36,83,31,41,76,97,37,45,67,54,64,44
ENSG00000021826,1373,CPS1,CPS1,8,6,7,2,4,0,8,18,4,9,9,3
ENSG00000021852,732,C8B,C8B,108,109,109,101,116,57,101,77,142,54,126,74
ENSG00000022267,2273,FHL1,FHL1,10,2,8,11,4,4,2,13,22,14,22,0
ENSG00000022277,51507,RTFDC1,RTFDC1,61,29,47,46,37,26,24,11,32,40,21,32
ENSG00000022355,2554,GABRA1,GABRA1,19,8,13,14,27,2,16,18,7,2,12,16
ENSG00000022556,55655,NLRP2,NLRP2,0,1,1,2,0,5,6,4,2,2,1,0
ENSG00000022567,57210,SLC45A4,SLC45A4,18,72,46,25,43,28,42,15,24,27,49,45
ENSG00000022840,9921,RNF10,RNF10,72,38,54,51,12,24,38,71,39,62,49,26
ENSG00000022976,55778,ZNF839,ZNF839,98,67,41,44,114,78,30,41,38,36,46,62
ENSG00000023041,64429,ZDHHC6,ZDHHC6,0,5,2,0,0,4,0,0,1,0,0,1
ENSG00000023171,57476,GRAMD1B,GRAMD1B,2,5,0,3,14,3,3,2,2,1,7,3
ENSG00000023191,6050,RNH1,RNH1,33,26,51,29,52,39,20,21,35,24,20,42
ENSG00000023228,4719,NDUFS1,NDUFS1,8,34,12,19,16,8,32,22,9,14,9,5
ENSG00000023287,9821,RB1CC1,RB1CC1,1,0,3,10,0,1,0,1,0,3,12,5
ENSG00000023318,23071,ERP44,ERP44,79,44,115,65,99,67,57,52,73,35,34,27
ENSG00000023330,211,ALAS1,ALAS1,5,0,10,1,21,6,7,6,14,11,12,26
ENSG00000023445,330,BIRC3,BIRC3,28,34,17,29,39,26,47,32,20,7,69,15
ENSG00000023516,11215,AKAP11,AKAP11,65,12,57,67,90,47,41,16,49,27,50,29
ENSG00000023572,51022,GLRX2,GLRX2,102,57,99,44,75,71,68,99,68,87,61,65
ENSG00000023608,6617,SNAPC1,SNAPC1,0,0,2,1,0,1,0,1,0,0,6,0
ENSG00000023697,51071,DERA,DERA,86,90,66,61,30,28,44,30,80,80,50,91
ENSG00000023734,11171,STRAP,STRAP,22,43,29,75,18,60,44,63,57,42,53,56
ENSG00000023839,1244,ABCC2,ABCC2,3,47,28,18,23,8,9,8,24,16,11,21
ENSG00000023892,50619,DEF6,DEF6,4,10,0,6,10,30,1,14,5,21,3,1
ENSG00000023902,51177,PLEKHO1,PLEKHO1,1,4,0,7,0,0,2,0,0,1,0,2
ENSG00000023909,2730,GCLM,GCLM,9,1,8,7,14,21,23,11,9,17,21,1
ENSG00000024048,23304,UBR2,UBR2,72,64,102,73,124,23,69,111,131,164,47,46
ENSG00000024422,30846,EHD2,EHD2,17,17,20,31,40,25,36,53,50,16,49,32
ENSG00000024526,55635,DEPDC1,DEPDC1,41,10,16,73,53,46,63,55,44,30,74,31
ENSG00000024862,25901,CCDC28A,CCDC28A,43,61,26,42,38,26,74,65,47,14,58,43
ENSG00000025039,58528,RRAGD,RRAGD,29,10,23,30,16,16,11,15,33,22,11,38
ENSG00000025156,3298,HSF2,HSF2,85,24,28,45,78,58,47,75,61,70,48,58
ENSG00000025293,51230,PHF20,PHF20,39,43,42,30,16,38,32,61,34,19,46,20
ENSG00000025423,8630,HSD17B6,HSD17B6,6,4,3,18,9,1,4,12,0,35,8,8
ENSG00000025434,10062,NR1H3,NR1H3,0,0,0,2,0,2,0,2,1,2,0,0
ENSG00000025708,1890,TYMP,TYMP,30,26,37,27,51,31,30,42,40,18,44,55
ENSG00000025770,29781,NCAPH2,NCAPH2,16,23,24,13,8,12,31,26,11,26,10,47
ENSG00000025772,10953,TOMM34,TOMM34,41,88,47,58,32,60,88,74,58,80,54,52
ENSG00000025796,11231,SEC63,SEC63,29,15,1,8,0,3,7,19,16,9,11,11
ENSG00000025800,23633,KPNA6,KPNA6,42,25,50,87,23,106,54,63,66,15,41,48
ENSG00000026025,7431,VIM,VIM,38,8,19,17,12,20,3,8,32,20,8,6
ENSG00000026036,NA,RTEL1-TNFRSF6B,RTEL1-TNFRSF6B,0,1,1,8,24,2,0,0,5,21,0,2
ENSG00000026103,355,FAS,FAS,22,11,8,0,3,0,3,6,4,7,2,0
ENSG00000026297,8635,RNASET2,RNASET2,47,39,67,29,34,61,40,29,59,42,39,40
ENSG00000026508,960,CD44,CD44,12,27,12,12,8,5,1,16,20,2,14,8
ENSG00000026559,3755,KCNG1,KCNG1,46,46,55,79,100,34,49,38,37,50,61,80
ENSG00000026652,56895,AGPAT4,AGPAT4,5,0,1,2,9,0,5,1,2,4,1,17
ENSG00000026751,57823,SLAMF7,SLAMF7,6,1,1,15,5,27,14,8,12,16,5,12
ENSG00000026950,11119,BTN3A1,BTN3A1,82,93,170,230,143,151,133,173,87,124,116,86
ENSG00000027001,4285,MIPEP,MIPEP,55,27,16,12,41,11,23,54,23,41,60,14
ENSG00000027075,5583,PRKCH,PRKCH,3,4,2,2,1,11,0,8,2,7,0,1
ENSG00000027644,3645,INSRR,INSRR,53,54,62,79,47,61,64,71,31,36,29,65
ENSG00000027697,3459,IFNGR1,IFNGR1,5,6,2,10,15,11,4,11,2,0,11,1
ENSG00000027847,11285,B4GALT7,B4GALT7,82,59,44,31,16,40,28,63,28,23,67,43
ENSG00000027869,9047,SH2D2A,SH2D2A,38,21,39,47,24,57,29,32,56,21,49,77
ENSG00000028116,101927261,VRK2,VRK2,1,0,3,2,7,0,1,6,1,1,1,0
ENSG00000028137,7133,TNFRSF1B,TNFRSF1B,320,476,500,621,296,282,375,415,508,386,327,467
ENSG00000028203,55591,VEZT,VEZT,6,14,4,10,1,0,0,2,8,3,8,2
ENSG00000028277,5452,POU2F2,POU2F2,11,117,62,60,80,38,51,39,31,55,39,42
ENSG00000028310,65980,BRD9,BRD9,7,6,2,9,9,10,13,10,4,15,8,6
ENSG00000028528,6642,SNX1,SNX1,3,0,4,0,0,0,0,0,0,5,1,0
ENSG00000028839,9519,TBPL1,TBPL1,0,0,1,11,5,1,0,3,8,1,0,5
ENSG00000029153,56938,ARNTL2,ARNTL2,4,17,6,8,0,5,2,0,3,9,0,4
ENSG00000029363,9774,BCLAF1,BCLAF1,20,51,37,38,32,52,34,65,60,24,22,8
ENSG00000029364,55334,SLC39A9,SLC39A9,160,165,109,151,183,227,157,99,98,299,105,205
ENSG00000029534,286,ANK1,ANK1,11,1,9,0,1,1,0,0,2,0,4,0
ENSG00000029559,3381,IBSP,IBSP,28,78,49,82,50,63,40,31,41,27,60,54
ENSG00000029639,51106,TFB1M,TFB1M,5,12,38,0,6,0,12,4,7,3,23,5
ENSG00000029725,9135,RABEP1,RABEP1,20,40,16,16,12,30,8,25,20,15,2,4
ENSG00000029993,3149,HMGB3,HMGB3,134,100,143,240,238,211,96,167,226,126,95,226
ENSG00000030066,23279,NUP160,NUP160,29,14,37,31,22,26,21,22,35,48,34,20
ENSG00000030110,578,BAK1,BAK1,7,25,5,14,25,29,22,28,26,12,13,13
ENSG00000030304,4593,MUSK,MUSK,5,2,8,3,0,7,3,1,21,0,4,13
ENSG00000030419,22807,IKZF2,IKZF2,44,12,12,20,3,2,23,17,19,31,15,27
ENSG00000030582,2896,GRN,GRN,1,5,10,4,0,3,1,0,4,1,11,4
ENSG00000031003,51306,FAM13B,FAM13B,14,10,2,4,0,0,0,12,2,0,0,1
ENSG00000031081,57514,ARHGAP31,ARHGAP31,35,35,43,23,40,60,47,30,38,44,72,52
ENSG00000031544,NA,NR2E3,NR2E3,36,29,50,42,44,18,35,33,31,29,20,67
ENSG00000031691,55166,CENPQ,CENPQ,24,12,10,33,5,6,12,10,10,46,21,23
ENSG00000031698,6301,SARS,SARS,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000031823,8498,RANBP3,RANBP3,160,125,132,180,165,196,108,120,114,85,79,150
ENSG00000032219,5926,ARID4A,ARID4A,15,5,8,7,17,10,8,19,16,15,14,34
ENSG00000032389,7260,TSSC1,TSSC1,2,12,5,12,3,0,7,4,0,4,10,9
ENSG00000032444,10908,PNPLA6,PNPLA6,95,35,31,9,25,24,21,18,14,33,42,71
ENSG00000032742,8100,IFT88,IFT88,0,0,0,0,0,1,1,0,0,0,1,0
ENSG00000033011,100507589,ALG1,ALG1,48,92,66,128,127,78,53,47,91,85,36,70
ENSG00000033030,55596,ZCCHC8,ZCCHC8,94,65,98,97,274,145,157,98,65,217,100,96
ENSG00000033050,10061,ABCF2,ABCF2,32,41,7,18,22,57,18,15,11,52,9,36
ENSG00000033100,54480,CHPF2,CHPF2,1,5,10,4,4,11,12,1,12,8,6,4
ENSG00000033122,57554,LRRC7,LRRC7,8,12,14,13,12,4,11,16,6,1,10,6
ENSG00000033170,2530,FUT8,FUT8,11,1,8,4,12,7,1,2,5,5,0,17
ENSG00000033178,55236,UBA6,UBA6,112,196,132,174,157,149,87,90,134,53,60,80
ENSG00000033327,9846,GAB2,GAB2,32,41,24,25,45,28,28,51,38,28,19,18
ENSG00000033627,535,ATP6V0A1,ATP6V0A1,13,14,33,23,22,10,14,40,13,9,59,19
ENSG00000033800,8554,PIAS1,PIAS1,14,23,0,11,6,3,7,8,2,6,11,16
ENSG00000033867,9497,SLC4A7,SLC4A7,156,236,93,109,107,221,112,76,186,112,90,221
ENSG00000034053,321,APBA2,APBA2,8,20,0,3,5,1,14,2,3,13,7,12
ENSG00000034063,NA,UHRF1,UHRF1,96,153,49,75,74,79,93,116,106,142,115,90
ENSG00000034152,100996792,MAP2K3,MAP2K3,4,0,2,15,0,0,9,6,7,4,1,16
ENSG00000034239,79645,EFCAB1,EFCAB1,99,146,66,99,127,75,110,79,108,146,79,48
ENSG00000034510,9168,TMSB10,TMSB10,26,60,44,44,39,74,98,84,56,41,51,79
ENSG00000034533,28990,ASTE1,ASTE1,32,31,15,22,52,31,58,25,25,14,51,57
ENSG00000034677,25897,RNF19A,RNF19A,1,0,2,3,2,0,1,11,12,7,2,1
ENSG00000034693,8504,PEX3,PEX3,11,2,20,18,9,5,10,17,15,29,19,13
ENSG00000034713,11345,GABARAPL2,GABARAPL2,10,4,4,1,4,0,39,16,10,2,24,11
ENSG00000034971,4653,MYOC,MYOC,99,97,102,82,41,74,140,31,102,148,85,94
ENSG00000035115,26751,SH3YL1,SH3YL1,2,5,3,0,8,5,18,3,13,7,3,13
ENSG00000035141,100287852,FAM136A,FAM136A,145,126,101,86,91,82,117,173,96,25,131,90
ENSG00000035403,7414,VCL,VCL,6,8,2,0,1,0,1,2,1,1,3,0
ENSG00000035499,55789,DEPDC1B,DEPDC1B,3,2,3,5,8,2,6,4,0,9,10,10
ENSG00000035664,23604,DAPK2,DAPK2,6,2,7,10,7,5,4,3,6,4,6,7
ENSG00000035681,8439,NSMAF,NSMAF,108,143,124,221,61,95,62,165,141,104,127,105
ENSG00000035687,159,ADSS,ADSS,68,31,45,69,47,105,55,50,50,19,29,22
ENSG00000035720,26228,STAP1,STAP1,21,27,12,27,42,43,50,30,33,19,25,56
ENSG00000035862,7077,TIMP2,TIMP2,2,2,0,1,6,0,1,4,1,0,1,11
ENSG00000035928,5981,RFC1,RFC1,8,4,2,1,9,3,4,14,0,0,9,1
ENSG00000036054,55773,TBC1D23,TBC1D23,16,35,40,27,14,24,23,48,40,60,57,35
ENSG00000036257,8452,CUL3,CUL3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000036448,9172,MYOM2,MYOM2,191,93,175,155,124,39,134,129,83,105,48,94
ENSG00000036473,5009,OTC,OTC,10,20,6,23,15,3,18,10,21,1,6,8
ENSG00000036530,10858,CYP46A1,CYP46A1,0,0,0,0,0,1,8,0,3,4,0,1
ENSG00000036549,26009,ZZZ3,ZZZ3,50,53,76,70,93,31,97,52,56,65,67,52
ENSG00000036565,6570,SLC18A1,SLC18A1,35,38,63,39,29,47,49,14,49,21,38,32
ENSG00000036672,9099,USP2,USP2,12,1,2,16,15,1,2,4,9,5,16,2
ENSG00000036828,846,CASR,CASR,7,1,7,9,13,7,14,8,4,8,3,9
ENSG00000037042,27175,TUBG2,TUBG2,0,30,19,1,4,1,6,6,0,5,20,16
ENSG00000037241,51121,RPL26L1,RPL26L1,14,16,19,29,11,10,4,35,24,6,34,11
ENSG00000037280,2324,FLT4,FLT4,757,778,788,1162,1046,1021,788,718,918,938,804,798
ENSG00000037474,54888,NSUN2,NSUN2,17,3,11,3,6,6,25,8,6,2,25,3
ENSG00000037637,54455,FBXO42,FBXO42,11,9,27,23,10,11,6,28,17,45,29,26
ENSG00000037749,4238,MFAP3,MFAP3,8,6,1,7,7,2,6,7,6,12,14,20
ENSG00000037757,84245,MRI1,MRI1,36,46,72,59,23,50,50,40,44,46,64,73
ENSG00000037897,4234,METTL1,METTL1,55,37,29,25,56,13,27,51,26,42,26,20
ENSG00000037965,3224,HOXC8,HOXC8,16,21,39,16,55,20,3,16,12,13,30,15
ENSG00000038002,175,AGA,AGA,3,6,23,24,8,11,6,7,7,20,27,4
ENSG00000038210,285540,PI4K2B,PI4K2B,11,48,7,9,3,12,22,13,10,13,9,21
ENSG00000038219,259282,BOD1L1,BOD1L1,1,12,16,27,5,17,8,3,34,21,15,37
ENSG00000038274,27430,MAT2B,MAT2B,4,8,24,11,7,5,4,5,3,8,2,7
ENSG00000038295,7092,TLL1,TLL1,23,26,18,27,21,40,35,12,16,47,17,15
ENSG00000038358,23644,EDC4,EDC4,4,0,0,3,3,3,1,3,0,4,11,1
ENSG00000038382,7204,TRIO,TRIO,10,5,10,14,8,0,3,6,6,9,8,6
ENSG00000038427,1462,VCAN,VCAN,6,9,20,2,21,10,9,23,3,14,27,9
ENSG00000038532,23274,CLEC16A,CLEC16A,18,4,0,12,2,13,13,5,6,6,15,19
ENSG00000038945,4481,MSR1,MSR1,20,20,12,27,48,39,22,69,32,48,25,87
ENSG00000039068,999,CDH1,CDH1,218,149,130,273,142,83,141,225,140,279,104,373
ENSG00000039123,23517,SKIV2L2,SKIV2L2,53,34,54,45,24,29,30,31,33,17,35,39
ENSG00000039139,1767,DNAH5,DNAH5,75,79,73,48,46,66,64,54,49,52,43,127
ENSG00000039319,9765,ZFYVE16,ZFYVE16,29,12,25,22,21,52,24,51,23,17,7,17
ENSG00000039523,79567,FAM65A,FAM65A,4,40,8,5,0,7,11,18,7,8,19,11
ENSG00000039537,729,C6,C6,7,11,6,2,4,4,1,2,3,1,0,9
ENSG00000039560,26064,RAI14,RAI14,43,42,42,32,21,45,59,83,29,77,40,114
ENSG00000039600,11063,SOX30,SOX30,3,0,7,5,0,3,2,15,2,4,3,0
ENSG00000039650,11284,PNKP,PNKP,4,0,0,0,4,4,6,2,3,0,4,2
ENSG00000039987,54831,BEST2,BEST2,1,0,0,5,2,1,8,1,3,5,6,0
ENSG00000040199,23035,PHLPP2,PHLPP2,20,44,23,38,43,59,19,19,20,46,54,74
ENSG00000040275,54908,SPDL1,SPDL1,24,50,14,26,3,29,10,16,20,40,38,53
ENSG00000040341,27067,STAU2,STAU2,22,28,66,16,38,13,30,37,61,13,61,36
ENSG00000040487,54896,PQLC2,PQLC2,2,16,11,3,10,15,20,14,11,7,7,14
ENSG00000040531,1497,CTNS,CTNS,10,3,10,7,2,25,8,13,9,9,13,14
ENSG00000040608,65078,RTN4R,RTN4R,26,57,97,79,56,66,87,76,82,126,100,15
ENSG00000040633,79142,PHF23,PHF23,2,7,4,2,9,2,0,7,2,20,7,10
ENSG00000040731,1008,CDH10,CDH10,63,14,64,38,34,67,20,38,31,33,50,64
ENSG00000040933,3631,INPP4A,INPP4A,39,15,14,44,49,20,21,27,9,36,5,25
